state,plate_title,plate_img
AR,"Purple Heart - Combat Wounded License Plate",purpleheart_lg.jpg
AR,"Purple Heart Motorcycle License Plate",mc_purpleheart_lg.jpg
AR,"Quail Forever",Quail_Forever_CAD_1st_%28006%29.png
AR,"Realtor License Plate",realtor_lg.jpg
AR,"School Vehicle License Plate",schoolvehicle_lg.jpg
AR,"Search and Rescue License Plate",sar_lg.jpg
AR,"Sheep Dog Impact Assistance License Plate",sdia_lg.jpg
AR,"Sons of Confederate Veterans License Plate",sonsOfConfVets_sm.png
AR,"Southern Arkansas University License Plate",sau_lg.jpg
AR,"Street Rod or Custom Vehicle License Plate",MISSING.png
AR,"Support Animal Rescue and Shelters License Plate",animalshelter_lg.jpg
AR,"Support Our Troops License Plate",sot_lg.jpg
AR,"Support Spay or Neutering Specialty License Plate for North Little Rock Friends of Animals, Inc.",spayneuter_lg.jpg
AR,"Susan G. Komen Breast Cancer License Plate",breast_cancer_lg.jpg
AR,"Taxi Cab License Plate",taxi_lg.jpg
AR,"Transporter License Plate",transporter_lg.jpg
AR,"University of Arkansas Agriculture 4-H License Plate",4h_lg.jpg
AR,"University Of Arkansas at Fayetteville License Plate - Current",HT_ArkansasTag.png
AR,"University of Arkansas at Little Rock License Plate",ualr_lg.jpg
AR,"University of Arkansas at Monticello License Plate",uam_lg.jpg
AR,"University Of Arkansas at Pine Bluff License Plate",uapb_lg.jpg
AR,"University Of Arkansas Fort Smith License Plate",UofAFortSmith_lg.jpg
AR,"University of Arkansas Medical Sciences License Plate",uams_lg.jpg
AR,"University Of Central Arkansas License Plate 1st Design",uca_lg.jpg
AR,"University of Central Arkansas License Plate 2nd Design",uca2_lg.jpg
AR,"University of the Ozarks License Plate",MISSING.png
AR,"Veteran of Foreign Wars Motorcycle License Plate",vfw_mc_lg.jpg
AR,"Veterans of Foreign Wars",MISSING.png
AR,"Vietnam War Veteran License Plate",vietnam_lg.jpg
AR,"World War II Veteran License Plate",wwII_lg.jpg
AR,"Zeta Phi Beta Sorority License Plate",zpbs_lg.jpg
AZ,"Alice Cooper’s Solid Rock",license-plate-Alice-Cooper-Solid-Rock_0.jpg
AZ,"All in for Arizona Schools",license-plate-extraordinary-educator.jpg
AZ,"Alzheimer's Awareness",License-Plate-Alzheimers-Awareness.jpg
AZ,"Amateur Radio",license-plate-amateur-radio.jpg
AZ,"Arizona 4-H",license-plate-arizona-4h.jpg
